6.6.9,Massachusetts St General Obligation BondRate/Coupon: 5.0%  Matures: 10/01/2038,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)",Interest,"$201 - $1,000"
6.6.10,Michigan St Fin Auth Revenue BondRate/Coupon: 5.0%  Matures: 11/15/2034,Government SecuritiesMunicipal Security,Joint,"$15,001 - $50,000",Interest,"$1,001 - $2,500"
6.6.11,Missouri St Health & Educational Facs Auth Revenue BondRate/Coupon: 4.0%  Matures: 11/15/2042,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)",Interest,"$1,001 - $2,500"
6.6.12,Montana St Fin Auth Hosp Revenue BondRate/Coupon: 5.0%  Matures: 02/15/2031,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000",Interest,"$2,501 - $5,000"
6.6.13,Montgomery County TX Indpt Sch Dist Revenue BondRate/Coupon: 4.0%  Matures: 02/15/2033,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)",Interest,"$1,001 - $2,500"
6.6.14,Nebraska Invt Hsg Fin Auth Revenue BondRate/Coupon: 4.125%  Matures: 09/01/2038,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000",Interest,"$2,501 - $5,000"
6.6.15,New York NY General Obligation BondRate/Coupon: 5.646%  Matures: 06/01/2027,Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000",Interest,"$201 - $1,000"
6.6.16,New York St Dorm Auth Revenue BondRate/Coupon: 1.748%  Matures: 03/15/2028,Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000",Interest,"$201 - $1,000"
6.6.17,Omaha Neb Public Pwr Dist Revenue BondRate/Coupon: 5.0%  Matures: 02/01/2034,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)",Interest,"$2,501 - $5,000"
6.6.18,Omaha Neb Public Pwr Dist Revenue BondRate/Coupon: 5.0%  Matures: 02/01/2036,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
6.6.19,Port Auth of NY & NJ Revenue BondRate/Coupon: 5.0%  Matures: 07/15/2032,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)",Interest,"$2,501 - $5,000"
6.6.20,Reedy Creek Improvement Dist FL Revenue BondRate/Coupon: 1.869%  Matures: 06/01/2026,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
6.6.21,Sarpy County Neb Sch Dist General Obligation BondRate/Coupon: 5.0%  Matures: 12/15/2027,Government SecuritiesMunicipal Security,Joint,"$100,001 - $250,000",Interest,"$2,501 - $5,000"
6.6.22,University of Nebraska Revenue BondRate/Coupon: 5.0%  Matures: 05/15/2029,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)",Interest,"$2,501 - $5,000"
6.6.23,Virginia Sm Business Fin Auth Revenue BondRate/Coupon: 5.05  Matures: 10/01/2040,Government SecuritiesMunicipal Security,Joint,"$15,001 - $50,000",Interest,"$1,001 - $2,500"
6.6.24,Virginia St Hsg Dev Auth Revenue BondRate/Coupon: 3.25%  Matures: 10/01/2026,Government SecuritiesMunicipal Security,Joint,"$1,001 - $15,000",Interest,"$201 - $1,000"
6.6.25,Westfield Ind High Sch Bldg Corp Revenue BondRate/Coupon: 5.0%  Matures: 07/15/2033,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000",Interest,"$2,501 - $5,000"
6.6.26,Broward County Florida Airport System Revenue BondRate/Coupon: 5.25%  Matures: 10/01/2025Filer comment:  Matured,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)",Interest,"$1,001 - $2,500"
6.6.27,Cherry Creek Colorado Sch Dist General Obligation Bond Rate/Coupon: 2.1%  Matures: 12/15/2027,Government SecuritiesMunicipal Security,Joint,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
6.6.28,Decatur Texas Hospital Auth Revenue BondRate/Coupon: 4.0%  Matures: 09/01/2034,Government SecuritiesMunicipal Security,Joint,"None (or less than $1,001)",Interest,"$1,001 - $2,500"
